,StateCode,WardCode,WardName,LGACode,Urban,Source,Timestamp,GlobalID,AMAPCODE,X.x,WardName.x,urbanPercentage,classification_20,classification_30,classification_50,classification_75,X.y,WardName.y,median_rank,ranks,AdminLevel3,Population
136,TA,TRSUSS05,Kpambo Puri,35013,No,INEC,3/16/2019,0515843e-ae62-40af-b8d8-f381d8a55da4,NIE TRS USS,84,Kpambo Puri,0,Rural,Rural,Rural,Rural,50,Kpambo Puri,63.5,50,Kpambo Purfi,18107
25,TA,TRSDGA07,Kumbo,35003,No,INEC,3/16/2019,1554e20b-008c-43d8-ac0f-106f7febb469,NIE TRS DGA,85,Kumbo,0.114671235,Rural,Rural,Rural,Rural,61,Kumbo,74,61,Kumbo,14755
103,TA,TRSLAU07,Kunini,35010,No,INEC,3/16/2019,c8c6c8a3-b2a3-40b4-8918-e3968fd3afee,NIE TRS LAU,86,Kunini,0,Rural,Rural,Rural,Rural,161,Kunini,156,161,Kunini,16916
15,TA,TRSBAL08,Kussum/Badakoshi,35002,No,INEC,3/16/2019,5c88f01b-16eb-4493-bfc0-aaf1af2b8165,NIE TRS BAL,87,Kussum/Badakoshi,0,Rural,Rural,Rural,Rural,48,Kussum/Badakoshi,63,48,Kussum Badakoshi,38616
134,TA,TRSUSS06,Kwambai,35013,No,INEC,3/16/2019,5938cb20-d301-441d-a884-b586e02047cf,NIE TRS USS,88,Kwambai,0,Rural,Rural,Rural,Rural,9,Kwambai,19.5,9,Kwambai,20932
74,TA,TRSKLD08,Kwanchi,35008,No,INEC,3/16/2019,85319737-5471-4c68-963f-f7cf9d083ea5,NIE TRS KLD,89,Kwanchi,0,Rural,Rural,Rural,Rural,125,Kwanchi,121,125,Kwanchi,34819
137,TA,TRSUSS07,Kwesati,35013,No,INEC,3/16/2019,c72b83fc-a012-48f5-bede-30ea36ad73db,NIE TRS USS,90,Kwesati,0,Rural,Rural,Rural,Rural,35,Kwesati,48.5,35,Kwesati,12684
1,TA,TRSARD06,Lamido Borno,35001,No,INEC,3/16/2019,df6f2167-46b1-46e9-ab0c-b39b32864884,NIE TRS ARD,91,Lamido Borno,0.578903633,Rural,Rural,Rural,Rural,71,Lamido Borno,78.5,71,Lamido Borno,14418
164,TA,TRSTZG06,Lamma,35016,No,INEC,3/16/2019,51f68f66-da9d-4989-8371-0d220645fce6,NIE TRS TZG,92,Lamma,0,Rural,Rural,Rural,Rural,145,Lamma,137.5,145,Lama,15822
148,TA,TRSYRR05,Lankaviri,35015,No,INEC,3/16/2019,b0250c1e-c491-4f48-85fb-c2f44a958784,NIE TRS YRR,93,Lankaviri,0,Rural,Rural,Rural,Rural,18,Lankaviri,26.5,18,Lankaviri,14161
95,TA,TRSLAU08,Lau,35010,No,INEC,3/16/2019,410aaa92-336c-4e1a-8614-143908f26422,NIE TRS LAU,94,Lau,0.459146791,Rural,Rural,Rural,Rural,133,Lau,128,133,Lau,17424
128,TA,TRSUSS08,Lissam 1,35013,No,INEC,3/16/2019,64fc88fc-44b8-4465-86d6-c36ea098fb2b,NIE TRS USS,95,Lissam 1,0,Rural,Rural,Rural,Rural,17,Lissam 1,26,17,Lissam I,11261
133,TA,TRSUSS09,Lissam 2,35013,No,INEC,3/16/2019,a3e638b7-6ea3-4b2e-b01e-bf152d8305fd,NIE TRS USS,96,Lissam 2,0,Rural,Rural,Rural,Rural,15,Lissam 2,25,15,Lissam Ii,8614
131,TA,TRSUSS10,Lumbu,35013,No,INEC,3/16/2019,5630e8d0-ea18-44e2-bb2c-a44a0a32ede7,NIE TRS USS,97,Lumbu,0,Rural,Rural,Rural,Rural,30,Lumbu,39,30,Lumbu,15687
107,TA,TRSSDA05,Magu,35011,No,INEC,3/16/2019,7bcb45b0-d20a-4d8c-9898-705cb5dabe5f,NIE TRS SDA,98,Magu,0,Rural,Rural,Rural,Rural,121,Magu,118,121,Magu,26860
41,TA,TRSGKA07,Mai Idanu,35004,No,INEC,3/16/2019,dde122ab-c4d5-49b7-a0cf-211b99167e49,NIE TRS GKA,99,Mai Idanu,0,Rural,Rural,Rural,Rural,127,Mai Idanu,123,127,Maidanu,10193
21,TA,TRSBAL09,Maihula,35002,No,INEC,3/16/2019,b9a31020-a0be-42d7-be01-8de7bdf58090,NIE TRS BAL,100,Maihula,0.101402408,Rural,Rural,Rural,Rural,41,Maihula,54.5,41,Maihula,55496
71,TA,TRSJAL04,Majidadi,35007,No,INEC,3/16/2019,d78c4a62-c875-4bdf-8ecb-5b9540db2070,NIE TRS JAL,101,Majidadi,67.07788827,Urban,Urban,Urban,Rural,33,Majidadi,44,33,Majindadi,22851
4,TA,TRSARD07,Mallum,35001,No,INEC,3/16/2019,41945981-87a0-4c24-b21b-9db0cc1cdbb7,NIE TRS ARD,102,Mallum,0,Rural,Rural,Rural,Rural,26,Mallum,35.5,26,Bakin Dutse,21427
150,TA,TRSYRR06,Mannang,35015,No,INEC,3/16/2019,41478a04-2623-420f-9574-d40b94192127,NIE TRS YRR,103,Mannang,0,Rural,Rural,Rural,Rural,108,Mannang,105,108,Pupule,14451
120,TA,TRSTTM07,Manya,35012,No,INEC,3/16/2019,29065876-a9d7-435d-8ed6-c660ec77e662,NIE TRS TTM,104,Manya,0,Rural,Rural,Rural,Rural,46,Manya,59,46,Manya,24340
30,TA,TRSDGA08,Mararaba,35003,No,INEC,3/16/2019,5d403b21-898e-40fa-8496-7820c064624e,NIE TRS DGA,105,Mararaba,0.421527064,Rural,Rural,Rural,Rural,120,Mararaba,116.5,120,Mararaba,29618
6,TA,TRSARD08,Mayo Renewo,35001,No,INEC,3/16/2019,71e43c2d-2735-43aa-97ad-d4fa0aaa5e5d,NIE TRS ARD,106,Mayo Renewo,0,Rural,Rural,Rural,Rural,132,Mayo Renewo,127,132,Mayo Renewo,22002
36,TA,TRSGKA08,Mayo Selbe,35004,No,INEC,3/16/2019,ff33a1bd-5622-469e-b261-bc3a47a92139,NIE TRS GKA,107,Mayo Selbe,0,Rural,Rural,Rural,Rural,65,Mayo Selbe,74.5,65,Mayo Selbe,14057
97,TA,TRSLAU09,Mayo-Lope,35010,No,INEC,3/16/2019,b7ec8702-38df-4f7e-8cc3-c4f75fb03a31,NIE TRS LAU,108,Mayo-Lope,0,Rural,Rural,Rural,Rural,154,Mayo-Lope,147.5,154,Mayo-Lope,17229
115,TA,TRSSDA06,Mayo-Ndaga,35011,No,INEC,3/16/2019,9daa46ed-84ae-4479-9ae7-af49ab293a20,NIE TRS SDA,109,Mayo-Ndaga,0,Rural,Rural,Rural,Rural,111,Mayo-Ndaga,107,111,Mayo-Ndaga,47284
111,TA,TRSSDA07,Mbamnga,35011,No,INEC,3/16/2019,c31e2042-f92c-48eb-9c91-71ea871d35da,NIE TRS SDA,110,Mbamnga,0,Rural,Rural,Rural,Rural,70,Mbamnga,78,70,Mbamaga,39001
154,TA,TRSYRR07,Mika,35015,No,INEC,3/16/2019,59fd8578-3393-4ba0-b0e9-d9a4b2788fe6,NIE TRS YRR,111,Mika,0,Rural,Rural,Rural,Rural,138,Mika,133.5,138,Mika,14210
166,TA,TRSTZG07,Monkin,35016,No,INEC,3/16/2019,da1ad890-4803-4f62-a61e-3b2ca223353a,NIE TRS TZG,112,Monkin,0,Rural,Rural,Rural,Rural,149,Monkin,140,149,Kakulu,13598
83,TA,TRSKLD09,Muri A,35008,No,INEC,3/16/2019,6a8c1749-0099-4193-a37a-fa74d51df8b0,NIE TRS KLD,113,Muri A,0,Rural,Rural,Rural,Rural,31,Muri A,42,31,Muri B,26114
76,TA,TRSKLD10,Muri B,35008,No,INEC,3/16/2019,5f8a904c-1927-4bc5-b1ca-7268fa343197,NIE TRS KLD,114,Muri B,0,Rural,Rural,Rural,Rural,52,Muri B,65,52,Muri C,34688
75,TA,TRSKLD11,Muri C,35008,No,INEC,3/16/2019,f503cd32-20ee-4b98-8b03-3c83345d98c9,NIE TRS KLD,115,Muri C,0,Rural,Rural,Rural,Rural,115,Muri C,110.5,115,Muri A,17614
53,TA,TRSGAS03,Mutum Biyu A,35005,No,INEC,3/16/2019,2274c91d-0873-4b26-b767-3cfe0fd664c3,NIE TRS GAS,116,Mutum Biyu A,0.607719494,Rural,Rural,Rural,Rural,95,Mutum Biyu A,96.5,95,Mutum Biyu A,45716
51,TA,TRSGAS04,Mutum Biyu B,35005,No,INEC,3/16/2019,eae11894-b845-444c-92c5-aecd868c3761,NIE TRS GAS,117,Mutum Biyu B,0,Rural,Rural,Rural,Rural,81,Mutum Biyu B,84,81,Mutum Biyu B,46581
47,TA,TRSGAS05,Namnai,35005,No,INEC,3/16/2019,1cc33ad6-76f3-42f1-9283-b1c10e0e1d6e,NIE TRS GAS,118,Namnai,0,Rural,Rural,Rural,Rural,157,Namnai,151,157,Namnai,31192
93,TA,TRSKRM09,Ndaforo,35009,No,INEC,3/16/2019,22e4f6bc-4fde-4e6a-9af5-19e123d4f660,NIE TRS KRM,119,Ndaforo,0,Rural,Rural,Rural,Rural,147,Ndaforo,139,147,Ndaforo,15298
108,TA,TRSSDA08,Ndum-Yaji,35011,No,INEC,3/16/2019,01de66fd-ef3c-4554-80e9-262fcc83a283,NIE TRS SDA,120,Ndum-Yaji,0,Rural,Rural,Rural,Rural,119,Ndum-Yaji,112,119,Ndum-Yaji,24588
110,TA,TRSSDA09,Nguroje,35011,No,INEC,3/16/2019,34f3f1d6-06bf-4836-a7a4-ac4011dd5df6,NIE TRS SDA,121,Nguroje,0.19679531,Rural,Rural,Rural,Rural,96,Nguroje,96.5,96,Nguroje,39289
63,TA,TRSBBB04,Nwonyo 1,35006,No,INEC,3/16/2019,5da679cf-48d2-40a1-ab42-336592ceecc3,NIE TRS BBB,122,Nwonyo 1,1.138497103,Rural,Rural,Rural,Rural,100,Nwonyo 1,98,100,Nwonyo I,13543
55,TA,TRSBBB05,Nwonyo 2,35006,No,INEC,3/16/2019,6f078d85-617f-4c59-b948-2ac1752b36a4,NIE TRS BBB,123,Nwonyo 2,0,Rural,Rural,Rural,Rural,116,Nwonyo 2,111.5,116,Nwonyo II,16295
152,TA,TRSYRR08,Nyaja,35015,No,INEC,3/16/2019,4b32850b-c314-4c3f-b37c-c6c4059897ab,NIE TRS YRR,124,Nyaja,0,Rural,Rural,Rural,Rural,142,Nyaja,136.5,142,Nyaja,16872
92,TA,TRSKRM10,Nyido-Tosso,35009,No,INEC,3/16/2019,5f224071-7823-4ad6-b7f6-07b18ae74787,NIE TRS KRM,125,Nyido-Tosso,0,Rural,Rural,Rural,Rural,156,Nyido-Tosso,148.5,156,Nyido-Tosso,18683
31,TA,TRSDGA09,Nyita,35003,No,INEC,3/16/2019,e35e7bd4-7fe4-4063-a7a6-00a17a65c99c,NIE TRS DGA,126,Nyita,0,Rural,Rural,Rural,Rural,113,Nyita,108.5,113,Nyita,13861
156.1,TA,TRSYRR09,Pantisawa,35015,No,INEC,3/16/2019,de1435b4-0a29-4089-a6ac-22605417e200,NIE TRS YRR,127,Pantisawa,0,Rural,Rural,Rural,Rural,68,Pantisawa,76.5,68,Panti-Sawa,12565
140,TA,TRSWKR08,Puje,35014,No,INEC,3/16/2019,7290cfb1-57b5-49a8-a1bf-536c56920587,NIE TRS WKR,128,Puje,1.519106905,Rural,Rural,Rural,Rural,4,Puje,7,4,Puje,66289
157,TA,TRSYRR10,Pupule,35015,No,INEC,3/16/2019,7f5676e1-0774-4e89-a155-769e509420ef,NIE TRS YRR,129,Pupule,0,Rural,Rural,Rural,Rural,107,Pupule,103.5,107,Manang,16525
147,TA,TRSWKR09,Rafin Kada,35014,No,INEC,3/16/2019,f4d36ab2-9023-4e19-af4e-19b388aa658e,NIE TRS WKR,130,Rafin Kada,0,Rural,Rural,Rural,Rural,24,Rafin Kada,32.5,24,Rafin Kada,17855
62.2,TA,TRSBBB06,Rimi Uku 1,35006,No,INEC,3/16/2019,046f7d84-5feb-4f42-961a-c3a7c23c82d9,NIE TRS BBB,131,Rimi Uku 1,0,Rural,Rural,Rural,Rural,124,Rimi Uku 1,120.5,124,Rimi Uku I,28440
56,TA,TRSBBB07,Rimi Uku 2,35006,No,INEC,3/16/2019,c6f7f785-fcdc-49d6-bbb3-ab9a79de27d3,NIE TRS BBB,132,Rimi Uku 2,0,Rural,Rural,Rural,Rural,59,Rimi Uku 2,70,59,Rimi Uku II,10383
126,TA,TRSTTM08,Rogo,35012,No,INEC,3/16/2019,efd4eaf5-6639-4b22-ac5d-5d3b6589df43,NIE TRS TTM,133,Rogo,2.442156015,Rural,Rural,Rural,Rural,16,Rogo,26,16,Rogo,28742
127.1,TA,TRSUSS11,Rufu,35013,No,INEC,3/16/2019,ffa7fc69-3753-4438-b7a3-2c3ee29446c7,NIE TRS USS,134,Rufu,0,Rural,Rural,Rural,Rural,21,Rufu,28,21,Rufu,17458
50,TA,TRSGAS06,Sabon Gida,35005,No,INEC,3/16/2019,cf9f24c0-1963-4de1-bf89-53d61ddcaa6d,NIE TRS GAS,135,Sabon Gida,0,Rural,Rural,Rural,Rural,74,Sabon Gida,80.5,74,Sabon Gida,37536
70,TA,TRSJAL05,Sarkin Dawaki,35007,No,INEC,3/16/2019,a60da477-0fa5-42f0-9200-150036d16f14,NIE TRS JAL,136,Sarkin Dawaki,60.25637175,Urban,Urban,Urban,Rural,97,Sarkin Dawaki,97,97,Sarkin Dawaki,18886
61,TA,TRSBBB08,Sarkin Kudu 1,35006,No,INEC,3/16/2019,728b343c-ac5f-4cbf-8f79-bd9c4ee6f20d,NIE TRS BBB,137,Sarkin Kudu 1,0,Rural,Rural,Rural,Rural,117,Sarkin Kudu 1,112,117,Sarkin Kudu I,13086
60,TA,TRSBBB09,Sarkin Kudu 2,35006,No,INEC,3/16/2019,5900606c-850a-4dbd-a895-4aff8e43d571,NIE TRS BBB,138,Sarkin Kudu 2,0,Rural,Rural,Rural,Rural,126,Sarkin Kudu 2,121.5,126,Sarkin Kudu II,8900
57,TA,TRSBBB10,Sarkin Kudu 3,35006,No,INEC,3/16/2019,3a667670-e09c-4690-a668-50ba0321fd66,NIE TRS BBB,139,Sarkin Kudu 3,0,Rural,Rural,Rural,Rural,122,Sarkin Kudu 3,118.5,122,Sarkin Kudu III,14107
43,TA,TRSGAS07,Sendirde,35005,No,INEC,3/16/2019,a2767557-d708-4a5e-a4d1-58611c6f9e0d,NIE TRS GAS,140,Sendirde,0,Rural,Rural,Rural,Rural,88,Sendirde,91.5,88,Sendirde,21557
38,TA,TRSGKA09,Serti A,35004,No,INEC,3/16/2019,ce3f09d5-6492-46f4-a6fd-908b25ddfca4,NIE TRS GKA,141,Serti A,1.223680241,Rural,Rural,Rural,Rural,102,Serti A,99.5,102,Serti A,11540
33.1,TA,TRSGKA10,Serti B,35004,No,INEC,3/16/2019,2a59d99b-5ac7-4820-8d1d-2d018bbddb90,NIE TRS GKA,142,Serti B,15.53746559,Rural,Rural,Rural,Rural,85,Serti B,88.5,85,Serti B,26102
123,TA,TRSTTM09,Shibong,35012,No,INEC,3/16/2019,d3680599-c1fa-4237-b07d-be26b6e77246,NIE TRS TTM,143,Shibong,0,Rural,Rural,Rural,Rural,64,Shibong,74,64,Shibong,8036
49,TA,TRSGAS08,Shira,35005,No,INEC,3/16/2019,3fcd9497-83e0-48d8-8589-1ecf88179faa,NIE TRS GAS,144,Shira,0,Rural,Rural,Rural,Rural,137,Shira,133,137,Shira,39718
73,TA,TRSJAL06,Sintali A,35007,Yes,INEC,3/16/2019,5b8c871a-433e-47c0-8539-4ceaf9a1e716,NIE TRS JAL,145,Sintali A,85.66725704,Urban,Urban,Urban,Urban,5,Sintali A,12,5,Sintali A,4920
68,TA,TRSJAL07,Sintali B,35007,No,INEC,3/16/2019,c743edfc-0bc2-45f9-b982-f3f01334a94e,NIE TRS JAL,146,Sintali B,19.34502711,Rural,Rural,Rural,Rural,2,Sintali B,6.5,2,Sintali B,47190
20,TA,TRSBAL10,Suntai,35002,No,INEC,3/16/2019,57cb5ba3-9166-49e3-849d-e290257aef3a,NIE TRS BAL,147,Suntai,0.114209471,Rural,Rural,Rural,Rural,72,Suntai,78.5,72,Suntai,83779
27,TA,TRSDGA10,Suntai,35003,No,INEC,3/16/2019,f9af8af0-edc4-41bc-8c34-4a96747ea4ab,NIE TRS DGA,149,Suntai,0,Rural,Rural,Rural,Rural,43,Suntai,56,43,Suntai,83779
162,TA,TRSTZG08,Tagallang,35016,No,INEC,3/16/2019,087938ca-22fb-4768-9a37-e713306685d3,NIE TRS TZG,151,Tagallang,0.405693404,Rural,Rural,Rural,Rural,151,Tagallang,144,151,Tagallang,20351
18,TA,TRSBAL11,Takalafiya,35002,No,INEC,3/16/2019,a0272acf-0b8a-48ed-9c7c-ae57956b3206,NIE TRS BAL,152,Takalafiya,0,Rural,Rural,Rural,Rural,40,Takalafiya,54,40,Takalafiya,41904
10,TA,TRSARD09,Tau,35001,No,INEC,3/16/2019,d168c7cf-31d5-4e5d-91c6-c75b70ce73db,NIE TRS ARD,153,Tau,0,Rural,Rural,Rural,Rural,152,Tau,144.5,152,Tau,12600
116,TA,TRSTTM10,Tikari,35012,Yes,INEC,3/16/2019,12158fc9-8f88-4f34-9f16-398ec9a0ec7a,NIE TRS TTM,154,Tikari,39.47202228,Urban,Urban,Rural,Rural,6,Tikari,12.5,6,Tikari,22385
109,TA,TRSSDA10,Titong,35011,No,INEC,3/16/2019,ac027845-f948-49dc-894b-bf43e3b9f125,NIE TRS SDA,155,Titong,0,Rural,Rural,Rural,Rural,112,Titong,107,112,Titong,38755
138,TA,TRSWKR10,Tsokundi,35014,No,INEC,3/16/2019,f5f6e3df-1d5a-4391-afc2-aad142ebee1e,NIE TRS WKR,156,Tsokundi,0.276853464,Rural,Rural,Rural,Rural,36,Tsokundi,48.5,36,Tsokundi,37287
64,TA,TRSJAL08,Turaki A,35007,Yes,INEC,3/16/2019,89aca6b1-1176-442e-813f-48bfd144ac3d,NIE TRS JAL,157,Turaki A,57.74337021,Urban,Urban,Urban,Rural,49,Turaki A,63.5,49,Turaki A,19105
69,TA,TRSJAL09,Turaki B,35007,Yes,INEC,3/16/2019,875dee18-9b44-4eb4-a4ff-5e121d0badea,NIE TRS JAL,158,Turaki B,4.646631769,Rural,Rural,Rural,Rural,1,Turaki B,1,1,Turaki B,31021
52,TA,TRSGAS09,Tutare,35005,No,INEC,3/16/2019,72eafcc4-9969-485c-99ab-7b6bc31f9225,NIE TRS GAS,159,Tutare,0,Rural,Rural,Rural,Rural,130,Tutare,126,130,Tutare,21546
105,TA,TRSSDA11,Warwar,35011,No,INEC,3/16/2019,4569a458-fa05-485a-bb09-537c8f5c3ad2,NIE TRS SDA,160,Warwar,0,Rural,Rural,Rural,Rural,101,Warwar,98.5,101,Warwar,30869
44,TA,TRSGAS10,Wuro Jam,35005,No,INEC,3/16/2019,df107555-98e7-45c4-b1ce-bbfbedf8d354,NIE TRS GAS,161,Wuro Jam,0,Rural,Rural,Rural,Rural,77,Wuro Jam,82,77,Wurojam,33233
46,TA,TRSGAS11,Wuryo,35005,No,INEC,3/16/2019,536ce07c-77df-4c07-a335-071d60a41bfb,NIE TRS GAS,162,Wuryo,0.296094748,Rural,Rural,Rural,Rural,62,Wuryo,74,62,Wuryo,54993
167.1,TA,TRSTZG09,Yakoko,35016,No,INEC,3/16/2019,b8de945e-1fea-4330-b972-805180063003,NIE TRS TZG,163,Yakoko,0,Rural,Rural,Rural,Rural,163,Yakoko,157.5,163,Yakoko,31231
65,TA,TRSJAL10,Yelwa,35007,No,INEC,3/16/2019,84eb0004-bc26-4686-8db4-7974ba5f79cf,NIE TRS JAL,164,Yelwa,0,Rural,Rural,Rural,Rural,98,Yelwa,97.5,98,Yelwa,9541
48,TA,TRSGAS12,Yerima,35005,No,INEC,3/16/2019,8cdea29a-175d-4cc3-a788-1e26c894881d,NIE TRS GAS,165,Yerima,0,Rural,Rural,Rural,Rural,118,Yerima,112,118,Yerima,32034
96,TA,TRSLAU10,Yitti,35010,No,INEC,3/16/2019,6e7dd87f-bae3-43da-a88b-6430289e5f1a,NIE TRS LAU,166,Yitti,0,Rural,Rural,Rural,Rural,94,Yitti,96,94,Yitti,5013
117,TA,TRSTTM11,Yukuiben,35012,No,INEC,3/16/2019,17f4ec2f-ea1e-45a5-a170-a6c4ea388a1b,NIE TRS TTM,167,Yukuiben,0,Rural,Rural,Rural,Rural,73,Yukuiben,80,73,Yukuiben,11772
5,TA,TRSARD10,Zangon Kombi,35001,No,INEC,3/16/2019,6ac0f358-75cb-4b95-94b7-45fa80fc494b,NIE TRS ARD,168,Zangon Kombi,0,Rural,Rural,Rural,Rural,139,Zangon Kombi,134.5,139,Zangonkombi,23180
159,TA,TRSTZG10,Zing,35016,No,INEC,3/16/2019,0680cebc-c4ba-4971-9ea8-1f589164874e,NIE TRS TZG,169,Zing,8.64647923,Rural,Rural,Rural,Rural,110,Zing,106,110,Zing,35736
